file,y_tc_mean,ntc_mean,A_rms,B_rms,C_rms,D_rms,U_A,U_B,U_C,U_D,R_AB,R_AC,R_AD,R_BC,R_BD,R_CD
J2-T75-I1 Tp 4_Processed.unv,75.87499237060547,48.244083618196846,2.542429685592652,2.528771758079529,2.537724614143372,2.568061232566833,-0.05788960869679238,-0.03942143461694103,-0.059507321130340074,-0.05596385374709811,1.4684805172441595,0.9728149007076897,1.0344106922728518,0.6624636073029648,0.7044088635333685,1.063317072467078
J2-T75-I2 Tp 4_Processed.unv,76.12499237060547,53.511549074486005,2.5398110151290894,2.525573968887329,2.537269830703736,2.5633015632629395,-0.06050827916035484,-0.04261922380914074,-0.059962104569976304,-0.06072352305099171,1.4197414629446479,1.0091086627845283,0.996455345806334,0.7107693119644213,0.7018569026924187,0.9874608974782966
J2-T75-I3 Tp 4_Processed.unv,76.32290903727214,57.48260733533973,2.53589129447937,2.5260618925094604,2.5342214107513428,2.5537562370300293,-0.06442799981007408,-0.04213130018700939,-0.06301052452236933,-0.07026884928390187,1.5292193576769693,1.0224958496766923,0.9168785381666141,0.6686390965060509,0.5995729347550508,0.8967063665407798
J2-T80-I1 Tp 4_Processed.unv,83.40624237060547,36.166269341951306,2.5381075143814087,2.7546271085739136,2.690794825553894,2.824408531188965,-0.0622117799080355,0.18643391587744373,0.09356289028018194,0.20038344487503368,-0.3336934678180108,-0.6649193897466944,-0.31046367102248895,1.9926053515357605,0.9303858210128617,0.46691926240978204
J2-T80-I2 Tp 4_Processed.unv,83.26040903727214,46.87903573735512,2.4730539321899414,3.0628215074539185,2.686612725257873,3.092605710029602,-0.1272653620995028,0.4946283147574486,0.08938078998416099,0.4685806237156709,-0.257294939053196,-1.423855865696144,-0.2715975771476327,5.533944316727351,1.0555884936838174,0.19074794274548618
J2-T80-I3 Tp 4_Processed.unv,83.26040903727214,53.7371128960928,2.4312344789505005,2.5788462162017822,2.5691909790039062,2.5564870834350586,-0.1690848153389437,0.010653023505312387,-0.02804095626980585,-0.06753800287887257,-15.872002465274342,6.029923291917548,2.5035507141393025,-0.3799094225892513,-0.15773376545377382,0.4151878212936868
J2-T85-I1 Tp 4_Processed.unv,88.2083257039388,32.26616971135005,2.7824721336364746,2.7613449096679688,2.76636016368866,2.834611415863037,0.18215283934703042,0.1931517169714989,0.169128228414948,0.21058632954910594,0.9430557605341325,1.0770102723486652,0.8649794112326498,1.1420430449824759,0.9172091910479806,0.8031301403898089
J2-T85-I2 Tp 4_Processed.unv,88.16665903727214,53.12177505429831,2.390350699424744,3.227197289466858,2.9788581132888794,4.340173006057739,-0.2099685948647001,0.6590040967703881,0.3816261780151673,1.716147919743808,-0.3186150069380493,-0.5501944231308868,-0.12234877451358905,1.7268314773317168,0.38400192034073977,0.2223737089470339
J2-T85-I3 Tp 4_Processed.unv,88.0520757039388,58.50550948051312,2.995750665664673,2.6918208599090576,2.5855884552001958,2.733783721923828,0.39543137137522866,0.12362766721258778,-0.011643480073516344,0.10975863560989696,3.19856695746958,-33.96161361367005,3.6027358501491116,-10.617759160664075,1.1263593659453275,-0.10608258756877667
J2-T90-I1 Tp 4_Processed.unv,91.74999237060548,36.244126854537086,2.7848711013793945,3.687876582145691,2.867446184158325,3.175175428390503,0.18455180708995034,1.119683389449221,0.2702142488846131,0.5511503420765718,0.1648249932337859,0.6829832544054983,0.3348483943502849,4.14368744087714,2.03153895401858,0.49027321268916496
J2-T90-I2 Tp 4_Processed.unv,91.9114507039388,54.32898186196037,3.7756675481796265,3.418239712715149,2.847980260848999,2.6311713457107544,1.1753482538901823,0.8500465200186791,0.2507483255752869,0.007146259396823229,1.382686977960165,4.687362323132583,164.47041572723586,3.39003866952425,118.94985513631866,35.08805259528553
J2-T90-I3 Tp 4_Processed.unv,91.9270757039388,59.97234058962232,2.798602104187012,4.117067575454712,2.719514966011048,2.8732911348342896,0.19828280989756797,1.548874382758242,0.12228303073733571,0.24926604852035839,0.1280173602874528,1.6215071600856867,0.7954665750693823,12.666306791865738,6.213739865305966,0.4905723481525341
J2-T95-I1 Tp 4_Processed.unv,98.32290903727214,45.28682049629692,2.5833840370178223,2.559539675712585,2.5754895210266118,2.635836958885193,-0.01693525727162193,-0.008653516983884835,-0.021742414247100328,0.011811872571261706,1.9570375031515985,0.7789041768386183,-1.4337487277695005,0.3980016609718909,-0.7326117795190957,-1.8407254324771194
J2-T95-I2 Tp 4_Processed.unv,98.40624237060548,56.34767283170424,2.587261319160461,2.555286407470703,2.5834450721740723,2.64043927192688,-0.013057975128983212,-0.012906785225766715,-0.013786863099639834,0.016414185612948717,1.0117139861376687,0.9471317031736056,-0.7955298810976111,0.9361654737910533,-0.786318951796481,-0.8399358594290381
